feature,coef,abs_coef
cat__semantic_field_body,-2.0990181229727747,2.0990181229727747
cat__semantic_field_possession,-1.9969843435348806,1.9969843435348806
cat__src_pos_det,-1.9019044269586074,1.9019044269586074
cat__semantic_field_feeling,1.7589622521983033,1.7589622521983033
cat__tgt_pos_det,1.6134672093928855,1.6134672093928855
cat__semantic_field_consumption,-1.5743726937669538,1.5743726937669538
cat__tgt_pos_prep,-1.566690412572542,1.566690412572542
cat__semantic_field_process,1.4196724029517276,1.4196724029517276
cat__semantic_field_attribute,-1.3489158171976803,1.3489158171976803
cat__semantic_field_plant,1.1634025571114852,1.1634025571114852
cat__src_pos_pron,-1.1145461537983634,1.1145461537983634
cat__semantic_field_motive,1.00501931984695,1.00501931984695
cat__semantic_field_quantity,0.9855005968572278,0.9855005968572278
cat__semantic_field_competition,0.9845221766910028,0.9845221766910028
cat__semantic_field_artifact,0.9434712585329532,0.9434712585329532
cat__src_pos_adj,0.9231366148064507,0.9231366148064507
cat__tgt_pos_conj,0.8471547526411258,0.8471547526411258
cat__src_pos_conj,0.8471547526411258,0.8471547526411258
cat__src_pos_prep,0.8412204500118952,0.8412204500118952
cat__semantic_field_communication,-0.8101983600194743,0.8101983600194743
cat__semantic_field_state,0.6949977808444663,0.6949977808444663
cat__semantic_field_phenomenon,0.6653679593537835,0.6653679593537835
cat__semantic_field_creation,0.6585763094912408,0.6585763094912408
cat__tgt_pos_pron,0.6585619682873594,0.6585619682873594
cat__semantic_field_change,0.6512573777855588,0.6512573777855588
cat__tgt_pos_noun,-0.6478935275181935,0.6478935275181935
cat__semantic_field_contact,-0.6413413679425046,0.6413413679425046
cat__semantic_field_person,0.6277869068496168,0.6277869068496168
cat__semantic_field_group,-0.6056181681868541,0.6056181681868541
cat__semantic_field_time,-0.5907261176564435,0.5907261176564435
cat__semantic_field_location,0.5039437820077751,0.5039437820077751
cat__semantic_field_perception,-0.46752753420982557,0.46752753420982557
cat__semantic_field_social,0.45498936948283436,0.45498936948283436
cat__semantic_field_emotion,-0.4094986387663977,0.4094986387663977
cat__tgt_pos_verb,-0.4059186912011996,0.4059186912011996
cat__src_pos_adv,0.3782254771898913,0.3782254771898913
cat__semantic_field_substance,-0.36108056352798,0.36108056352798
cat__semantic_field_Tops,-0.3465248979332402,0.3465248979332402
cat__grammatical_conflicts_gender_number_forms,0.3458627205379519,0.3458627205379519
cat__semantic_field_act,-0.34217034043546,0.34217034043546
cat__grammatical_conflicts_no_conflicts,-0.32193368246412685,0.32193368246412685
num__diff_sessions,-0.31619300407982537,0.31619300407982537
cat__tgt_pos_adj,-0.2925319836696221,0.2925319836696221
num__src_session_count,-0.28542764945796406,0.28542764945796406
cat__semantic_field_pert,-0.2772717268706197,0.2772717268706197
num__abs_diff_sessions,-0.2559538692840625,0.2559538692840625
cat__semantic_field_event,-0.23696600903687232,0.23696600903687232
num__meaning_conflicts,0.2189308623161728,0.2189308623161728
cat__tgt_pos_adv,-0.2061493153597507,0.2061493153597507
num__concreteness,-0.19955383101156013,0.19955383101156013
cat__semantic_field_all,-0.18862125674336838,0.18862125674336838
num__diff_lexeme_count,0.18280992386195813,0.18280992386195813
cat__semantic_field_stative,-0.17083196852995372,0.17083196852995372
num__tgt_session_count,0.16759156069743797,0.16759156069743797
num__src_lexeme_count,0.15317153496251412,0.15317153496251412
num__diff_len,0.12102874364719741,0.12102874364719741
num__abs_diff_lexeme_count,-0.10894303367064848,0.10894303367064848
num__abs_diff_len,0.09345627765294881,0.09345627765294881
cat__semantic_field_food,-0.08194488073408848,0.08194488073408848
num__tgt_lemma_length,-0.06303306455630102,0.06303306455630102
num__frequency,0.062200295583301715,0.062200295583301715
cat__semantic_field_animal,0.05860544476234877,0.05860544476234877
cat__src_pos_noun,0.05064232418162266,0.05064232418162266
num__src_lemma_length,0.04300042167138953,0.04300042167138953
num__tgt_lexeme_count,-0.031370532780729536,0.031370532780729536
cat__semantic_field_cognition,-0.031243201455340448,0.031243201455340448
cat__src_pos_verb,-0.023929038073872977,0.023929038073872977
cat__grammatical_conflicts_verb_forms,-0.023929038073872977,0.023929038073872977
cat__semantic_field_motion,0.004780514753509152,0.004780514753509152
