src_lemma,tgt_lemma,src_median_hf_days,tgt_median_hf_days,src_log_days,tgt_log_days,log_gap,abs_log_gap
how,come,73.6030903,73.32231481,4.3121819312847025,4.3084112405490655,0.0037706907356369612,0.0037706907356369612
put,mettere,6463.7152778,6512.6099537,8.7741142496793,8.781649105888667,-0.007534856209366225,0.007534856209366225
total,totale,57.278044,56.79672454,4.065225418649851,4.05693210521446,0.008293313435390637,0.008293313435390637
under,sotto,6681.4768519,6740.43865741,8.807243984019046,8.816028631783306,-0.008784647764260356,0.008784647764260356
entry,ingresso,6751.5092593,6820.47569444,8.817669456906112,8.827831104915147,-0.010161648009034963,0.010161648009034963
after,dopo,5684.6458333,5793.18518519,8.645700002775396,8.664610139363237,-0.018910136587841464,0.018910136587841464
get,diventare,6736.9895833,6910.26736111,8.815516878002109,8.840908309656223,-0.02539143165411417,0.02539143165411417
procedure,processo,4316.630787,4175.72222222,8.370462101860815,8.33728206054296,0.03318004131785557,0.03318004131785557
still,tranquillo,6238.0925926,6456.375,8.738590032936708,8.77297816744621,-0.034388134509502066,0.034388134509502066
along,lungo,5719.7025463,5922.7025463,8.651846899611463,8.686716962496389,-0.034870062884925446,0.034870062884925446
long,lungo,6150.6516204,5922.7025463,8.724475880908415,8.686716962496389,0.03775891841202572,0.03775891841202572
june,giugno,4847.375,5035.37384259,8.486398876242827,8.524441626441991,-0.03804275019916403,0.03804275019916403
woman,donna,101.7206829,105.81196759,4.632013488089334,4.671069976334422,-0.03905648824508834,0.03905648824508834
improve,migliorare,6459.744213,6723.27199074,8.773499793392036,8.813478944445079,-0.03997915105304273,0.03997915105304273
clearly,chiaramente,7658.3321759,7342.09953704,8.94368007563108,8.90151631272403,0.04216376290704993,0.04216376290704993
skirt,gonna,191.9696759,201.19513889,5.262533056871175,5.309233265199456,-0.046700208328281256,0.046700208328281256
hear,sentire,6358.1840278,6066.90046296,8.757655350587614,8.710767936734673,0.04688741385294115,0.04688741385294115
know,conoscere,4247.5208333,4047.16782407,8.354326162115226,8.306019668623238,0.04830649349198879,0.04830649349198879
short,breve,7338.4085648,6945.96643519,8.901013541359335,8.84606035912658,0.05495318223275447,0.05495318223275447
around,intorno,4106.6921296,3872.84606481,8.320616624130944,8.26200310771283,0.058613516418112965,0.058613516418112965
motion,movimento,3105.4652778,3295.01157407,8.041240792167823,8.100468402573561,-0.05922761040573832,0.05922761040573832
finish,fine,7537.8391204,7071.39236111,8.927823486336841,8.863954083704657,0.06386940263218399,0.06386940263218399
detail,particolare,4658.1331019,4973.4837963,8.44658468017884,8.512076884671611,-0.06549220449277193,0.06549220449277193
even,sera,4749.1041667,5072.75694444,8.46592182661981,8.53183683685185,-0.0659150102320396,0.0659150102320396
seven,sette,5513.9351852,5146.84143519,8.615215179161607,8.546332766996505,0.06888241216510238,0.06888241216510238
