pair,feature
EN<->ES,src_pos
EN<->ES,tgt_pos
EN<->ES,src_lexeme_count
EN<->ES,tgt_lexeme_count
EN<->ES,grammatical_conflicts
EN<->ES,meaning_conflicts
EN<->ES,src_lemma_length
EN<->ES,tgt_lemma_length
EN<->ES,concreteness
EN<->ES,frequency
EN<->ES,semantic_field
EN<->ES,src_session_count
EN<->ES,tgt_session_count
EN<->ES,diff_len
EN<->ES,abs_diff_len
EN<->ES,diff_sessions
EN<->ES,abs_diff_sessions
EN<->ES,diff_lexeme_count
EN<->ES,abs_diff_lexeme_count
EN<->IT,src_pos
EN<->IT,tgt_pos
EN<->IT,src_lexeme_count
EN<->IT,tgt_lexeme_count
EN<->IT,grammatical_conflicts
EN<->IT,meaning_conflicts
EN<->IT,src_lemma_length
EN<->IT,tgt_lemma_length
EN<->IT,concreteness
EN<->IT,frequency
EN<->IT,semantic_field
EN<->IT,src_session_count
EN<->IT,tgt_session_count
EN<->IT,diff_len
EN<->IT,abs_diff_len
EN<->IT,diff_sessions
EN<->IT,abs_diff_sessions
EN<->IT,diff_lexeme_count
EN<->IT,abs_diff_lexeme_count
EN<->PT,src_pos
EN<->PT,tgt_pos
EN<->PT,src_lexeme_count
EN<->PT,tgt_lexeme_count
EN<->PT,grammatical_conflicts
EN<->PT,meaning_conflicts
EN<->PT,src_lemma_length
EN<->PT,tgt_lemma_length
EN<->PT,concreteness
EN<->PT,frequency
EN<->PT,semantic_field
EN<->PT,src_session_count
EN<->PT,tgt_session_count
EN<->PT,diff_len
EN<->PT,abs_diff_len
EN<->PT,diff_sessions
EN<->PT,abs_diff_sessions
EN<->PT,diff_lexeme_count
EN<->PT,abs_diff_lexeme_count
